Author,Company,Download,Title,Before parsing
Mike Trompower,"""Aironet""",http://grouper.ieee.org/groups/802/11/Documents/DocumentArchives/1996_docs/1196013_scan.pdf,DS PHY PICS Pro Forma ,DS PHY PICS Pro Forma (Mike Trompower - Aironet)
Vic Hayes,"""AT&T WCND Utrecht""",http://grouper.ieee.org/groups/802/11/Documents/DocumentArchives/1996_docs/1196014_scan.pdf,Changes in IEEE's Patent Policy rules ,"Changes in IEEE's Patent Policy rules (Vic Hayes, AT&T WCND Utrecht)"
Matthew Fischer,"""AMD""",http://grouper.ieee.org/groups/802/11/Documents/DocumentArchives/1996_docs/1196015_scan.pdf,Improving reliability of delivery of multicast frames in an infrastructure IBSS ,Improving reliability of delivery of multicast frames in an infrastructure IBSS (Matthew Fischer - AMD)
Matthew Fischer,"""AMD""",http://grouper.ieee.org/groups/802/11/Documents/DocumentArchives/1996_docs/1196016_scan.pdf,Increasing the reliability of delivery of multicast frames in an IBSS network ,Increasing the reliability of delivery of multicast frames in an IBSS network (Matthew Fischer - AMD)
ad,"""hoc group""",http://grouper.ieee.org/groups/802/11/Documents/DocumentArchives/1996_docs/1196017_scan.pdf,Proposed change in method of MAC transmit at FH dwell boundary ,Proposed change in method of MAC transmit at FH dwell boundary (ad-hoc group)
no name,no company,null,null,null
no name,no company,http://grouper.ieee.org/groups/802/11/Documents/DocumentArchives/1996_docs/1196018-06_scan.pdf,null,Clause 6 Comment resolution
Dean Kawaguchi,"""PHY Group""",http://grouper.ieee.org/groups/802/11/Documents/DocumentArchives/1996_docs/1196018-09_scan.pdf,Clause 9 Comment resolution ,"Clause 9 Comment resolution (Dean Kawaguchi, PHY Group)"
Dean Kawaguchi,"""PHY Group""",http://grouper.ieee.org/groups/802/11/Documents/DocumentArchives/1996_docs/1196018-10_scan.pdf,Clause 10 Comment resolution ,"Clause 10 Comment resolution (Dean Kawaguchi, PHY Group)"
Jim Renfro,"""PHY Group""",http://grouper.ieee.org/groups/802/11/Documents/DocumentArchives/1996_docs/1196018-11_scan.pdf,Clause 11 Comment resolution ,"Clause 11 Comment resolution (Jim Renfro, PHY Group)"
Wim Diepstraten,"""AT&T""",http://grouper.ieee.org/groups/802/11/Documents/DocumentArchives/1996_docs/1196019_scan.pdf,Miscellaneous Draft 2.1 Issues ,"Miscellaneous Draft 2.1 Issues (Wim Diepstraten, AT&T)"
Carolyn Heide,"""Spectrix""",null,"Tentative Minutes of the IEEE P802.11 Full Working Group, Interim Meeting, San Diego, CA, January 8-11, 1996 ","Tentative Minutes of the IEEE P802.11 Full Working Group, Interim Meeting, San Diego, CA, January 8-11, 1996 (Carolyn Heide - Spectrix)"
Carolyn Heide,"""Spectrix""",http://grouper.ieee.org/groups/802/11/Documents/DocumentArchives/1996_docs/1196020-R1_scan.pdf,"Tentative Minutes of the IEEE P802.11 Full Working Group, Interim Meeting, San Diego, CA, January 8-11, 1996 ","Tentative Minutes of the IEEE P802.11 Full Working Group, Interim Meeting, San Diego, CA, January 8-11, 1996 (Carolyn Heide - Spectrix)"
Carolyn Heide,"""Spectrix""",http://grouper.ieee.org/groups/802/11/Documents/DocumentArchives/1996_docs/1196021_scan.pdf,"Tentative Minutes of the IEEE P802.11 MAC Group, Interim Meeting, San Diego, CA, January 8-11, 1996 ","Tentative Minutes of the IEEE P802.11 MAC Group, Interim Meeting, San Diego, CA, January 8-11, 1996 (Carolyn Heide - Spectrix)"
Dave Bagby,"""AMD""",http://grouper.ieee.org/groups/802/11/Documents/DocumentArchives/1996_docs/1196022_scan.pdf,"Report of the IEEE P802.11MAC Group, Interim Meeting, San Diego, CA, January 8-11, 1996 ","Report of the IEEE P802.11MAC Group, Interim Meeting, San Diego, CA, January 8-11, 1996 (Dave Bagby, AMD)"
