GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0058-00-000s-november-2016-meeting-presentation.pptx
Harry Bims,"""WG Secretary""",https://mentor.ieee.org/802.16/dcn/16/16-16-0055-01-Gdoc-ieee-802-16-working-group-and-gridman-task-group-minutes-of-session-105.doc
GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0057-00-000s-gridman-closing-report-sept-2016.pptx
GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0035-03-000s-call-for-contributions-project-802-16s.docx
GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0050-02-000s-september-2016-meeting-presentation.pptx
GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0044-04-000s-802-16s-draft-system-description-document-sdd.docx
Menashe Shahar,"""Full Spectrum""",https://mentor.ieee.org/802.16/dcn/16/16-16-0049-01-000s-mac-overhead-calculator.xlsx
Roger Marks,"""IEEE 802.16""",https://mentor.ieee.org/802.16/dcn/16/16-16-0019-02-Gdoc-draft-par-802-16rev4-for-revision-to-ieee-std-802-16.docx
GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0050-01-000s-september-2016-meeting-presentation.pptx
GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0034-03-000s-p802-16s-system-requirements-document-srd.docx
GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0044-03-000s-802-16s-draft-system-description-document-sdd.docx
GRIDMAN Task Group,no company,https://mentor.ieee.org/802.16/dcn/16/16-16-0044-02-000s-802-16s-draft-system-description-document-sdd.docx
Menashe Shahar,"""Full Spectrum""",https://mentor.ieee.org/802.16/dcn/16/16-16-0039-03-Gcon-proposed-phy-layer-parameters-for-ieee-802-16s.docx
Menashe Shahar,"""Full Spectrum""",https://mentor.ieee.org/802.16/dcn/16/16-16-0039-02-Gcon-proposed-phy-layer-parameters-for-ieee-802-16s.docx
Harry Bims,"""WG Secretary""",https://mentor.ieee.org/802.16/dcn/16/16-16-0055-00-Gdoc-ieee-802-16-working-group-and-gridman-task-group-minutes-of-session-105.doc
Harry Bims,"""WG Secretary""",https://mentor.ieee.org/802.16/dcn/16/16-16-0054-00-Gdoc-ieee-802-16-working-group-and-gridman-task-group-minutes-of-session-104.doc
Harry Bims,"""Acting Chair""",https://mentor.ieee.org/802.16/dcn/16/16-16-0053-00-Gdoc-process-to-obtain-802-16-voting-membership-status.pdf
