13-May-2017 ET,2017,22,2,000s: P802.16s,Proposed P802.16s Amendment Extension Request to RevCom,Roger Marks (EthAirNet Associates),13-May-2017 00:05:32 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0022-02-000s-proposed-p802-16s-amendment-extension-request-to-revcom.pptx,https://mentor.ieee.org/802.16/documents
11-May-2017 ET,2017,22,1,000s: P802.16s,Proposed P802.16s Amendment Extension Request to RevCom,Roger Marks (EthAirNet Associates),11-May-2017 23:57:50 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0022-01-000s-proposed-p802-16s-amendment-extension-request-to-revcom.pptx,https://mentor.ieee.org/802.16/documents
11-May-2017 ET,2017,22,0,000s: P802.16s,Proposed P802.16s Amendment Extension Request to RevCom,Roger Marks (EthAirNet Associates),11-May-2017 09:39:47 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0022-00-000s-proposed-p802-16s-amendment-extension-request-to-revcom.pptx,https://mentor.ieee.org/802.16/documents
11-May-2017 ET,2017,21,0,00R4: P802.16 Rev 4,Late comments for Rev4 D1 of IEEE 802.16,"Harry Bims (Bims Laboratories, Inc.)",11-May-2017 00:38:15 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0021-00-00R4-late-comments-for-rev4-d1-of-ieee-802-16.xls,https://mentor.ieee.org/802.16/documents
22-Apr-2017 ET,2017,17,2,000s: P802.16s,Representative Channel Performance for 802.16s,Doug Gray (EPRI),22-Apr-2017 09:48:09 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0017-02-000s-representative-channel-performance-for-802-16s.docx,https://mentor.ieee.org/802.16/documents
17-Apr-2017 ET,2017,20,0,00R4: P802.16 Rev 4,Comments: WG Letter Ballot #41,Roger Marks (EthAirNet Associates),17-Apr-2017 10:39:03 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0020-00-00R4-comments-wg-letter-ballot-41.xlsx,https://mentor.ieee.org/802.16/documents
17-Mar-2017 ET,2017,18,1,Gdoc: Group Document,P802.16s to Sponsor Ballot: Conditional Approval Request,GRIDMAN Task Group,17-Mar-2017 18:03:07 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0018-01-Gdoc-p802-16s-to-sponsor-ballot-conditional-approval-request.pdf,https://mentor.ieee.org/802.16/documents
16-Mar-2017 ET,2017,19,0,Gcon: Group Contribution,Treasurer Report - March 2017,Tim Godfrey (EPRI),16-Mar-2017 20:31:18 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0019-00-Gcon-treasurer-report-march-2017.pptx,https://mentor.ieee.org/802.16/documents
16-Mar-2017 ET,2017,18,0,Gdoc: Group Document,P802.16s to Sponsor Ballot: Conditional Approval Request,GRIDMAN Task Group,16-Mar-2017 20:37:53 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0018-00-Gdoc-p802-16s-to-sponsor-ballot-conditional-approval-request.pdf,https://mentor.ieee.org/802.16/documents
16-Mar-2017 ET,2017,15,1,000s: P802.16s,March 2017 Meeting Presentation,Tim Godfrey (EPRI),16-Mar-2017 19:06:15 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0015-01-000s-march-2017-meeting-presentation.pptx,https://mentor.ieee.org/802.16/documents
16-Mar-2017 ET,2017,6,1,000s: P802.16s,802-16s-approved-system-description-document-sdd,GRIDMAN Task Group,16-Mar-2017 17:44:06 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0006-01-000s-802-16s-approved-system-description-document-sdd.docx,https://mentor.ieee.org/802.16/documents
16-Mar-2017 ET,2017,17,1,000s: P802.16s,Representative Channel Performance for 802.16s,Doug Gray (EPRI),16-Mar-2017 12:29:52 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0017-01-000s-representative-channel-performance-for-802-16s.docx,https://mentor.ieee.org/802.16/documents
15-Mar-2017 ET,2017,17,0,000s: P802.16s,Representative Channel Performance for 802.16s,Doug Gray (EPRI),15-Mar-2017 17:57:35 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0017-00-000s-representative-channel-performance-for-802-16s.docx,https://mentor.ieee.org/802.16/documents
15-Mar-2017 ET,2017,10,2,Gdoc: Group Document,Combined Comments for WG Letter Ballot 40,Tim Godfrey (EPRI),15-Mar-2017 14:28:31 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0010-02-Gdoc-combined-comments-for-wg-letter-ballot-40.xlsx,https://mentor.ieee.org/802.16/documents
14-Mar-2017 ET,2017,7,2,000s: P802.16s,Performance Projections for Sub-1.25 MHz Channels,Doug Gray (EPRI),14-Mar-2017 12:33:01 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0007-02-000s-performance-projections-for-sub-1-25-mhz-channels.docx,https://mentor.ieee.org/802.16/documents
14-Mar-2017 ET,2017,4,2,Gdoc: Group Document,IEEE 802.16 Working Group and GRIDMAN Task Group Minutes of Session #107,Harry Bims (WG Secretary),14-Mar-2017 11:24:39 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0004-02-Gdoc-ieee-802-16-working-group-and-gridman-task-group-minutes-of-session-107.doc,https://mentor.ieee.org/802.16/documents
14-Mar-2017 ET,2017,16,0,Gdoc: Group Document,Working Group Minutes for Session #108,Harry Bims (WG Secretary),18-Mar-2017 21:11:05 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0016-00-Gdoc-working-group-minutes-for-session-108.doc,https://mentor.ieee.org/802.16/documents
13-Mar-2017 ET,2017,15,0,000s: P802.16s,March 2017 Meeting Presentation,Tim Godfrey (EPRI),13-Mar-2017 23:39:10 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0015-00-000s-march-2017-meeting-presentation.pptx,https://mentor.ieee.org/802.16/documents
13-Mar-2017 ET,2017,4,1,Gdoc: Group Document,IEEE 802.16 Working Group and GRIDMAN Task Group Minutes of Session #107,Harry Bims (WG Secretary),13-Mar-2017 22:36:42 ET,https://mentor.ieee.org/802.16/dcn/17/16-17-0004-01-Gdoc-ieee-802-16-working-group-and-gridman-task-group-minutes-of-session-107.doc,https://mentor.ieee.org/802.16/documents
